"sequence_number","delta","gyro_x","gyro_y","gyro_z","accel_x","accel_y","accel_z","control_x","control_speed"
"83","0.096469","0.000915527","0.00201416","-0.0639038","0.0805664","0.0299072","-0.995728","0","1"
"84","0.117687","-0.0010376","-0.0010376","-0.0595093","0.0385132","-0.00402832","-0.947083","0","1"
"85","0.083293","-0.000854492","0.0012207","-0.0459595","-0.0137939","0.0201416","-0.878479","0","1"
"86","0.076309","-0.000488281","0.00134277","-0.0307007","-0.0158081","-0.0227661","-0.881531","0","1"
"87","0.08276","-0.00213623","0.00146484","-0.0148315","0.00531006","-0.0170898","-0.916077","0","1"
"88","0.076532","-0.00140381","0","0.00164795","0.0100708","-0.0499268","-0.959595","0","1"
"89","0.073428","-0.0022583","0.00305176","0.00628662","0.0115356","-0.076355","-0.956238","0","1"
"90","0.087513","-0.00140381","-0.00128174","0.00946045","0.00109863","-0.116882","-0.998779","0","1"
"91","0.077489","-0.00561523","0.0010376","0.0134277","0.0303955","-0.0869751","-0.942383","0","1"
"92","0.075259","-0.00634766","-0.00170898","0.0159302","-0.0323486","-0.098938","-0.881531","0","1"
"93","0.105779","-0.00823975","-0.00115967","0.0159302","-0.0296021","-0.0574951","-0.881714","0.630859","1"
"94","0.082745","-0.00830078","-0.00311279","0.00244141","0.0223389","0","-0.865906","0.970703","1"
"95","0.087484","-0.00738525","0.000793457","-0.0151367","0.0665283","0.0655518","-0.865112","0.966797","1"
"96","0.069018","-0.00506592","-0.000915527","-0.0322876","0.0545044","0.128906","-0.965515","0.966797","1"
"97","0.095976","-0.00250244","0.000549316","-0.0491943","0.0952148","0.106873","-0.991821","0.966797","1"
"98","0.075255","-0.000793457","0.00299072","-0.0645752","0.0698853","0.0852051","-0.949341","0.966797","1"
"99","0.089749","0.000793457","0.003479","-0.0707397","0.0376587","0.0523682","-0.971191","0.966797","1"
"100","0.099019","-0.000427246","0.00311279","-0.0690308","0.00689697","0.0551147","-0.990784","0.966797","1"
"101","0.087294","0.00170898","0.0012207","-0.0682983","-0.00500488","0.0460205","-0.972778","0.966797","1"
"102","0.082497","0.000366211","0.00238037","-0.0663452","0.010437","0.0583496","-0.990662","0.966797","1"
"103","0.083697","0.00170898","0.000793457","-0.0641479","-0.00561523","0.0341187","-0.989197","0.964844","1"
"104","0.076054","0.00219727","0.00335693","-0.0630493","0.015686","0.0396118","-1.02887","0.964844","1"
"105","0.075228","0.00366211","0.00152588","-0.0616455","-0.003479","-0.00384521","-0.991516","0.964844","1"
"106","0.074919","0.003479","0.00189209","-0.0613403","0.00793457","-0.0388184","-1.00378","0.964844","1"
"107","0.095363","0.00408936","0.000732422","-0.0593872","-0.0150757","-0.0511475","-0.999817","0.964844","1"
"108","0.098428","0.00262451","0.0012207","-0.0594482","0.00769043","-0.0289307","-1.0304","0.964844","1"
"109","0.080024","0.00268555","-0.000183105","-0.057373","-0.0022583","-0.00598145","-1.03119","0.964844","1"
"110","0.078581","0.00439453","-0.000244141","-0.0586548","-0.00549316","0.0426025","-1.00134","0.964844","1"
"111","0.076486","0.00439453","0.00158691","-0.0595093","-0.00823975","0.0704956","-0.973328","0.964844","1"
